"Prefix","Number","Title","Hours","Description","Unk","Taught"
"ATEC","6373","Emerging Media Studio","3","This course explores media production across multiple media. Students work in teams to develop meta-media projects in a variety of content delivery environments. Class will require students to develop a range of rhetorical (text, audio) and visual (image, video) strategies appropriate for emerging media. (May be repeated for credit to a maximum of 9 hours)","3-0","T"
"ATEC","6374","Digital Textuality","3","This course will focus on understanding how representation and specifically writing has changed as mediums of writing have changed, paying special attention to the transformation from the analog to the digital.","3-0","T"
"ATEC","6375","Cyberpsychology","3","Exploration of the underlying psychological issues of users that can be taken into account in the design and assessment of interactive technologies, such as online personas, virtual humans and cultures, brain-computer or human-robotic interfaces, virtual workplaces, and e-behavior.","3-0","T"
"ATEC","6376","E-Business Environment Design","3","Students in this course will analyze underlying changes in societal structures fueled by a web-based economic environment, apply the effect of these societal paradigms to marketing, examine the effect of technology-driven societal structures on the workplace, and explore how the optimization of e-marketing and e-business environment designs can be used to reduce energy consumption.","3-0","T"
"ATEC","6382","Special Topics in Interactive Media","3","Students in this course will explore how interactivity defines the degree to which digital artifacts (such as games, multimedia applications, products of all kind) are brought to life by their users. Topics may include interaction design, interface design, and research in anticipatory systems. (May be repeated for credit to a maximum of 6 credit hours.)","0-3","R"
"ATEC","6383","Special Topics in Sound Design","3","Advanced research in digital music and sound design. Topics may include advanced visualization of music and sound, sonification of images, and advanced research in interactive sound applications. (May be repeated for credit to a maximum of 6 credit hours.)","0-3","R"
"ATEC","6384","Special Topics in Game Studies","3","An examination of the links between technology, play, and culture. Topics may include the ethics of game development, serious and persuasive games, simulation and training, interactive education, identity and culture in virtual worlds, multilinear narrative, and philosophical origins of games as a medium. (May be repeated for credit to a maximum of 6 credit hours.)","0-3","R"
"ATEC","6385","Special Topics in Animation","3","Advanced research in animation, including concept development, character development, advanced techniques and methods in 2D animation, and animation production techniques. (May be repeated for credit to a maximum of 6 credit hours.)","0-3","R"
"ATEC","6390","Special Topics in Arts and Technology","3","If taken as an independent studies course may count toward minimum course requirements for the M.A. or M.F.A. degree. (May be repeated for credit to a maximum of 9 credit hours.)","3-0","R"
"ATEC","6397","Independent Readings in Arts and Technology","3","(May be repeated for credit)","3-0","R"
"ATEC","6398","Independent Research in Arts and Technology","3","(May be repeated for credit.)","3-0","R"
"ATEC","6V81","Special Topics in Emergent Communication","1-9","Explores current theories informing research on and practices in digital media and communication, such as distributed, mobile, time-shifted, interactive and personal media. (May be repeated for credit as topics vary to a maximum of 9 credit hours.)","0-[1-9]","T"
"ATEC","6V95","Advanced Project Workshop","3-6","Students will engage in the creation of an advanced creative and/or research project exploring the interaction of the arts with digital technology. Required of all degree candidates in Arts and Technology.","[3-6]-0","Y"
"ATEC","7331","Research Methodology in Arts and Technology","3","This course presents students with a variety of research methods that are appropriate for advanced research in Arts and Technology. Methods will include ethnographic, experimental, descriptive, historical, and philosophical.","3-0","R"
